time,plasma conc,CE_SI,CE_alpha,CE_beta,CE_LZc
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
0,0.090497738,0,0,0,0
2,0.090102957,0.004059645,0.001756191,0.003505956,0.00226473
4,0.089709968,0.007919072,0.003470542,0.006860497,0.004462755
6,0.089318761,0.011587362,0.005143938,0.010069572,0.006595836
8,0.088929328,0.015073188,0.0067772,0.013138899,0.008665628
10,0.088541662,0.018384829,0.008371141,0.016073973,0.010673767
12,0.088155753,0.021530195,0.00992656,0.018880069,0.012621841
14,0.087771594,0.024516841,0.011444242,0.021562266,0.014511402
16,0.087389178,0.027351984,0.012924953,0.024125443,0.016343959
18,0.087008495,0.030042518,0.014369447,0.026574287,0.018120985
20,0.086629538,0.032595015,0.015778461,0.028913311,0.019843918
22,0.086252299,0.035015747,0.017152718,0.031146843,0.021514156
24,0.08587677,0.037310716,0.018492927,0.033279036,0.023133065
26,0.085502943,0.039485664,0.019799785,0.035313888,0.024701974
28,0.085130811,0.041546077,0.021073972,0.037255247,0.026222182
30,0.084760366,0.04349717,0.022316158,0.039106818,0.027694954
32,0.084391599,0.045343922,0.023526997,0.04087216,0.02912152
34,0.084024504,0.047091105,0.024707132,0.04255468,0.03050308
36,0.083659072,0.048743274,0.025857193,0.044157649,0.031840801
38,0.083295296,0.050304773,0.026977798,0.045684222,0.033135824
40,0.082933168,0.051779753,0.028069551,0.047137432,0.034389261
42,0.082572681,0.053172178,0.029133045,0.048520194,0.035602198
44,0.082213827,0.054485832,0.030168859,0.049835303,0.036775694
46,0.081856599,0.05572433,0.031177563,0.051085452,0.037910783
48,0.081500989,0.056891124,0.032159716,0.052273223,0.03900847
50,0.08114699,0.057989511,0.033115864,0.053401102,0.040069729
52,0.080794594,0.059022637,0.034046547,0.054471477,0.041095514
54,0.080443795,0.059993509,0.03495229,0.055486642,0.042086752
56,0.080094584,0.060904997,0.035833612,0.056448804,0.04304435
58,0.079746954,0.061759842,0.03669102,0.05736008,0.043969192
60,0.079400898,0.062560664,0.037525011,0.058222509,0.044862141
62,0.07905641,0.063309961,0.038336068,0.059038047,0.045724036
64,0.078713481,0.064010117,0.039124667,0.059808576,0.046555694
66,0.078372104,0.064663413,0.039891274,0.060535905,0.047357914
68,0.078032273,0.065272026,0.040636347,0.061221771,0.048131471
70,0.077693981,0.065838034,0.041360335,0.061867844,0.048877124
72,0.07735722,0.06636342,0.042063677,0.062475728,0.04959561
74,0.077021982,0.06685008,0.042746806,0.063046964,0.05028765
76,0.076688263,0.067299824,0.043410144,0.063583034,0.050953945
78,0.076356053,0.067714379,0.044054106,0.064085364,0.051595178
80,0.076025347,0.068095396,0.044679098,0.064555321,0.052212016
82,0.075696137,0.068444448,0.045285518,0.06499422,0.052805108
84,0.075368417,0.068763041,0.045873756,0.065403326,0.053375088
86,0.075042179,0.069052611,0.046444194,0.065783852,0.053922572
88,0.074717418,0.069314528,0.046997208,0.066136966,0.054448162
90,0.074394125,0.069550103,0.047533165,0.06646379,0.054952443
92,0.074072295,0.069760585,0.048052425,0.066765401,0.055435987
94,0.073751921,0.069947169,0.048555342,0.067042835,0.05589935
96,0.073432996,0.070110994,0.049042261,0.067297086,0.056343075
98,0.073115513,0.070253149,0.049513522,0.067529111,0.056767691
100,0.072799466,0.070374672,0.049969457,0.067739829,0.057173713
102,0.072484848,0.070476555,0.050410392,0.067930123,0.057561644
104,0.072171652,0.070559744,0.050836646,0.068100841,0.057931973
106,0.071859873,0.070625145,0.051248534,0.068252798,0.058285178
108,0.071549503,0.070673621,0.051646361,0.068386777,0.058621722
110,0.071240537,0.070705996,0.052030428,0.068503532,0.05894206
112,0.070932967,0.070723056,0.052401031,0.068603785,0.059246632
114,0.070626787,0.070725553,0.052758458,0.068688231,0.059535868
116,0.070321991,0.070714204,0.053102992,0.068757539,0.059810189
118,0.070018573,0.070689693,0.053434911,0.068812347,0.060070003
120,0.069716526,0.070652674,0.053754488,0.068853274,0.060315708
122,0.069415843,0.070603771,0.054061987,0.068880911,0.060547693
124,0.06911652,0.070543579,0.054357672,0.068895827,0.060766335
126,0.068818549,0.070472667,0.054641798,0.068898569,0.060972003
128,0.068521924,0.070391578,0.054914617,0.068889662,0.061165057
130,0.068226639,0.070300828,0.055176374,0.068869609,0.061345847
132,0.067932688,0.070200913,0.055427311,0.068838897,0.061514714
134,0.067640065,0.070092305,0.055667664,0.06879799,0.06167199
136,0.067348763,0.069975454,0.055897665,0.068747336,0.061817999
138,0.067058777,0.06985079,0.05611754,0.068687364,0.061953057
140,0.066770101,0.069718723,0.056327512,0.068618487,0.062077471
142,0.066482728,0.069579644,0.056527798,0.068541102,0.062191541
144,0.066196653,0.069433929,0.056718613,0.068455589,0.062295559
146,0.065911869,0.069281932,0.056900165,0.068362314,0.06238981
148,0.065628372,0.069123994,0.05707266,0.068261629,0.062474571
150,0.065346153,0.06896044,0.0572363,0.068153871,0.062550112
152,0.065065209,0.068791581,0.057391281,0.068039364,0.062616697
154,0.064785533,0.068617711,0.057537797,0.06791842,0.062674581
156,0.06450712,0.068439113,0.057676035,0.067791337,0.062724015
158,0.064229963,0.068256055,0.057806183,0.067658404,0.062765243
160,0.063954056,0.068068796,0.057928421,0.067519895,0.062798501
162,0.063679395,0.06787758,0.058042929,0.067376076,0.062824021
164,0.063405972,0.06768264,0.058149879,0.067227201,0.062842029
166,0.063133784,0.0674842,0.058249444,0.067073515,0.062852742
168,0.062862823,0.067282472,0.058341791,0.066915252,0.062856376
170,0.062593085,0.067077658,0.058427085,0.066752637,0.062853138
172,0.062324563,0.066869954,0.058505485,0.066585886,0.062843232
174,0.062057253,0.066659543,0.05857715,0.066415208,0.062826856
176,0.061791148,0.066446601,0.058642234,0.066240801,0.062804201
178,0.061526243,0.066231296,0.058700889,0.066062858,0.062775456
180,0.061262533,0.066013788,0.058753263,0.065881562,0.062740802
182,0.061000012,0.06579423,0.058799502,0.065697089,0.062700419
184,0.060738674,0.065572768,0.058839747,0.065509609,0.062654479
186,0.060478514,0.065349539,0.058874138,0.065319284,0.062603152
188,0.060219528,0.065124677,0.058902812,0.065126272,0.062546602
190,0.059961709,0.064898306,0.058925903,0.06493072,0.06248499
192,0.059705051,0.064670549,0.058943542,0.064732774,0.062418471
194,0.059449551,0.064441518,0.058955857,0.06453257,0.062347199
196,0.059195202,0.064211324,0.058962975,0.064330242,0.06227132
198,0.058941999,0.063980069,0.05896502,0.064125916,0.06219098
200,0.058689937,0.063747853,0.058962111,0.063919716,0.062106319
202,0.058439011,0.063514771,0.058954368,0.063711757,0.062017473
204,0.058189215,0.063280913,0.058941906,0.063502151,0.061924577
206,0.057940544,0.063046363,0.05892484,0.063291007,0.061827759
208,0.057692994,0.062811204,0.05890328,0.063078428,0.061727148
210,0.057446558,0.062575513,0.058877336,0.062864513,0.061622866
212,0.057201233,0.062339364,0.058847114,0.062649357,0.061515032
214,0.056957012,0.062102828,0.05881272,0.062433052,0.061403763
216,0.056713891,0.061865971,0.058774256,0.062215684,0.061289174
218,0.056471865,0.061628858,0.058731822,0.061997337,0.061171375
220,0.056230928,0.061391548,0.058685518,0.061778093,0.061050475
222,0.055991076,0.061154099,0.058635439,0.061558027,0.060926577
224,0.055752303,0.060916567,0.058581679,0.061337214,0.060799785
226,0.055514606,0.060679004,0.058524332,0.061115726,0.060670199
228,0.055277978,0.060441459,0.058463488,0.060893628,0.060537914
230,0.055042415,0.060203979,0.058399236,0.060670987,0.060403025
